CGId,CGCode,College Name,District ID,Pincode,Address
11317,"AK915","MAA GAYATRI COLLEGE OF PHARMACY , ALLAHABAD [AK915]",3,,"MAWAIYA ROAD, POST- NAINI,DISTRICT -ALLAHABAD,PIN-211010 (U.P)"
10831,"AK1032","MAA LILAWATI SUDESHWARI INSTITUTE OF PHARMACY , MAU [AK1032]",55,,"VILLAGE- BASTI, POST- KHIRIYA"
11318,"AK938","MAA MATURNI DEVI MAHAVIDYALAY , BALLIA [AK938]",9,221715,"VILL- CHANDADIH, POST CHANDADIH"
10694,"AK991","MAA SARASWATI PARAMEDICAL INSTITUTE , GHAZIPUR [AK991]",32,233226,"N H 24, VILL: MAGENGAVA, PO: MARDAH(PIPNAR), GHAZIPUR"
11232,"AK976","MAA SHARDA PHARMACY COLLEGE , FAIZABAD [AK976]",26,,"VILLAGE-CHIKHADI, POST-HARINGTONGANJ, TEHSIL-MILKIPUR, DISTRICT-FAIZABAD"
11189,"AK761","MAA VAISHNO DEVI EDUCATIONAL & LAW COLLEGE,LUCKNOW [AK761]",49,226028,"faizabad road lucknow"
10778,"AK467","MADHU VACHASPATI INSTITUTE OF ENGINEERING & TECHNOLOGY,KAUSHAMBI [AK467]",46,212213,"Rasulabad urf Koilaha, Puramufti, G.T.Road, Kaushambi-212213"
38378,"AK1262","MADHU VACHASPATI INSTITUTE OF PHARMACY, KAUSHAMBI [AK1262]",46,212213,"G.T. Road, Kaushambi"
11154,"AK749","MADHU VACHASPATI SCHOOL OF MANAGEMENT,KAUSHAMBI [AK749]",46,212213,"Rasoolabad urf Koilaha, Puramufti, G.T.Road, Kaushambi-212213."
27754,"AK982","MAHALAXMI INSTITUTE OF MANAGEMENT & TECHNOLOGY, MEERUT [AK982]",56,250401,"Mawana Road, Meerut"
10904,"AK493","MAHARAJA AGRASEN COLLEGE OF ENGINEERING & TECHNOLOGY,J.P.NAGAR [AK493]",40,244236,"NH # 24, 10th Kms. From Gajraula, Delhi - Moradabad Highway ,Bagarpur Mafi ,Post-Rajabpur Dist -Amroha(J.P.Nagar)"
11155,"AK349","MAHARANA INSTITUTE OF PROFESSIONAL STUDIES,KANPUR [AK349]",44,209217,"BAIKUNTHPUR KALYANPUR SINGHPUR ROAD KANPUR NAGAR PINCODE 209217 UTTAR PRADES"
10695,"AK430","MAHARANA INSTITUTE OF TECH. & SCIENCES,LUCKNOW [AK430]",49,227305,"Raebareli  Road ,Gram -Gaura,Mohanlalganj,Lucknow"
10696,"AK522","MAHARANA PRATAAP COLLEGE OF ENGINEERING,KANPUR [AK522]",44,209217,"Kanpur"
10905,"AK889","MAHARANA PRATAP COLLEGE OF PHARMACEUTICAL SCIENCES,KANPUR NAGAR [AK889]",44,209217,"Kothi,Mandhana,Kanpur"
11190,"AK200","MAHARANA PRATAP COLLEGE OF PHARMACY,KANPUR [AK200]",44,209217,"Kothi Mandhana Kanpur"
11288,"AK46","MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR [AK46]",44,209217,"Kanpur -209217"
35633,"ak1217","MAHARANA PRATAP INSTITUTE OF TECHNOLOGY, GORAKHPUR [ak1217]",34,273015,"GORAKHPUR"
10752,"AK1112","MAHARANA PRATAP SCHOOL OF PHARMACY,LUCKNOW [AK1112]",49,226301,"GAURA,MOHANLALGANJ,LUCKNOW"
11083,"AK95","MAHATAMA GANDHI MISSION COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR [AK95]",30,201303,"A-09, Sector-62, Noida-201302"
10803,"AK391","MAHATMA GANDHI INSTITUTE OF PHARMACY,LUCKNOW [AK391]",49,227101,"Junabganj, Kanpur Road, Lucknow, U.P.-227101"
11233,"AK427","MAHATMA GANDHI UNIVERSE INSTITUTE(MGUI),UNNAO [AK427]",74,209831,"MILESTONE-46, NH 25, LUCKNOW - KANPUR EXPRESSWAY, JAGDISHPUR, AJGAIN"
11191,"AK821","MAHAVEER COLLEGE OF PHARMACY,MEERUT [AK821]",56,250341,"Village Pohali, Post Davathwa, Tashil Sardhana,  Sardhana Road, Meerut (250341)"
38421,"AK1263","MAHRISHI COLLEGE OF PHARMACY [AK1263]",46,211011,"KAUSHAMBI"
11319,"AK575","MALTI MEMORIAL TRUSTS CSM ""GROUP OF INSTITUTIONS"" FACULTY OF B.PHARMACY,ALLAHABAD [AK575]",3,212110,"8TH MLE STONE REWA ROAD IRADATGANJ, Allahabad"
11124,"AK152","MANGALMAY INSTITUTE OF MANAGEMENT AND TECHNOLOGY,GAUTAM BUDDH NAGAR [AK152]",30,201310,"Plot No. 8 & 9, Knowledge Park-II, Greater Noida, U.P"
11054,"AK786","MANGALMAY INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR [AK786]",30,201310,"PLOT NO. - 8, KNOWLEDGE PARK-2 GREATER NOIDA"
10958,"AK19","MARATHWADA INSTT. OF TECHNOLOGY,BULANDSHAHAR [AK19]",19,203001,"Dhamara chola Bulandshahr"
10697,"AK1072","MASCOT COLLEGE OF PHARMACY , BAREILLY [AK1072]",13,243001,"167/4, JANAKPURI BAREILLY"
10906,"AK827","MASCOT INSTITUTE OF MANAGEMENT,BAREILLY [AK827]",13,243122,"16th Km Milestone NH74 Pilibhit Road, Rithora Bareilly"
28466,"AK1188","MASTER SCHOOL OF MANAGEMENT STUDIES [AK1188]",56,250005,"Lohia Nagar, Meerut"
10863,"AK926","MATA DULARI DEVI PHARMACY COLLEGE , AZAMGARH [AK926]",6,276304,"VILL – PHOOLPUR, POST - PHOOLPUR, DISTT - AZAMGARH (U.P.)"
10667,"AK916","MAYA INSTITUTE OF PHARMACY , HATHRAS [AK916]",50,204101,"MAYA INSTITUTE MANDU ROAD SHOKNA HATHRAS"
12479,"AK1186","MAYA INSTITUTE OF PHARMACY [AK1186]",50,204101,""
11084,"AK1106","MDALSHA COLLEGE OF PHARMACY,PRATAPGARH [AK1106]",64,,"NH-31 BANVEER KACHH PRATAPGARH CITY PRATAPGARH U.P. 230002"
11085,"AK68","MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT [AK68]",56,250005,"NH-58, Baghpat Road Crossing, Bypass Road, Meerut  - 250005 (U.P.)"
11086,"AK292","MEERUT INSTITUTE OF TECHNOLOGY,MEERUT [AK292]",56,250103,"NH-58, Baral Partapur, Bypass Road, Meerut - 250103"
11289,"AK425","MEERUT INTERNATIONAL INSTITUTE OF TECHNOLOGY,MEERUT [AK425]",56,250002,"Meerut"
10753,"AK859","MESCO INSTITUTE OF PHARMACY,MORADABAD [AK859]",40,244221,"DHANAURA ROAD, AMROHA"
10804,"AK852","METRO COLLEGE OF HEALTH SCIENCES & RESEARCH,GAUTAM BUDDH NAGAR [AK852]",30,201308,"PLOT NO 41, KNOWLEDGE PARK III"
11320,"AK649","MG INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW [AK649]",49,226401,"Lucknow"
12481,"AK1190","MICROTEK COLLEGE OF MANAGEMENT & TECHNOLOGY [AK1190]",75,221207,"village Barai Post Nayepur, Varanasi"
10736,"AK1067","MISSION COLLEGE OF PHARMACY , VARANASI [AK1067]",75,,"Sirishti Bhagatua Varanasi"
10698,"AK702","MIT COLLEGE OF MANAGEMENT,MORADABAD [AK702]",58,244001,"MIT COLLEGE OF MANAGEMENT"
11234,"AK1046","MIT COLLEGE OF PHARMACY , MORADABAD [AK1046]",58,244001,"MIT Campus, Ram Ganga Vihar Phase-2, Moradabad"
27009,"1156","MODERN COLLEGE JHANSI [1156]",39,284128,"544, Kochabhawar, Kanpur Road, Jhansi "
11156,"AK1156","MODERN COLLEGE JHANSI,JHANSI [AK1156]",39,284128,"544, KOCHHABHAWAR, KANPUR ROAD"
11157,"AK1152","MODERN COLLEGE OF PHARMACY,JHANSI [AK1152]",39,284128,"KONCHABHAWAR, KANPUR ROAD, JHANSI"
11264,"AK622","MODERN INSTITUTE OF TECHNOLOGY & MANAGEMENT,GHAZIABAD [AK622]",31,201206,"Ghaziabad"
10633,"AK380","MODINAGAR INSTITUTE OF TECHNOLOGY,GHAZIABAD [AK380]",31,201204,"Modinagar (Ghaziabad)"
10604,"AK631","MORADABAD EDUCATIONAL TRUST(MET) ""GROUP OF INSTITUTIONS"" FACULTY OF B.ARCHITECTURE,MORADABAD [AK631]",58,244001,"MIT campus, Ramganga vihar, phase-II, Moradabad"
11321,"AK82","MORADABAD INSTITUTE OF TECHNOLOGY,MORADABAD [AK82]",58,244001,"Moradabad - 244001 UP"
11322,"AK598","MORADABD EDUCATIONAL TRUST(MET) ""GROUP OF INSTITUTIONS"" FACULTY OF PHARMACY,MORADABAD [AK598]",58,244001,"Moradabad"
10699,"AK1127","NAND KISHORE COLLEGE OF PHARMACY,PRAYAGRAJ [AK1127]",3,,"DHANUHA, CHAKA, NAINI, PRAYAGRAJ PIN-211008"
10605,"AK118","NANDINI NAGAR MAHAVIDAYALA,GONDA [AK118]",33,271303,"Nawabganj - 271303"
10959,"AK944","NANDLAL PRABHU DEVI PROFESSIONAL INSTITUTE  , BARABANKI [AK944]",12,225001,"VILL ALAPUR POST HEADPOST OFFICE NAWABGANJ BARABANKI"
11192,"AK287","NARAINA COLLEGE OF ENGINEERING & TECHNOLOGY,KANPUR [AK287]",44,208020,"Ratanpur, Panki, Kanpur"
11235,"AK853","NARAINA SCHOOL OF PLANNING & ARCHITECTURE,KANPUR [AK853]",44,208020,"1184, GANGAGANJ, PANKI, KANPUR NAGAR"
11290,"AK554","NARAINA VIDYA PEETH "" GROUP OF INSTITUTIONS"" FACULTY OF PHARMACY,KANPUR [AK554]",44,208020,"Gangaganj, Panki, Kanpur"
10907,"AK429","NARAINA VIDYA PEETH ENGINEERING & MANAGEMENT INSTITUTE,KANPUR [AK429]",44,208020,"Gangaganj, Panki, Kanpur"
11265,"AK440","NARAYAN VIDYA PEETH MANAGEMENT INSTITUTE,KANPUR [AK440]",44,208020,"Gangaganj, Panki, Kanpur"
11266,"AK274","NARMADESHWAR MANAGEMENT COLLEGE ,LUCKNOW,LUCKNOW [AK274]",49,226028,"Narendra Nagar , Opp. Vikalp Khand , Gomtinagar, Lucknow"
12484,"AK190","NATIONAL INSTITUTE OF ELECTRONICS & INFORMATION TECHNOLOGY,GORAKHPUR [AK190]",34,273010,""
10832,"AK448","NEELAM COLLEGE OF ENGINEERING & TECHNOLOGY,AGRA [AK448]",1,283110,"27 Km. Stone Vill. Korai, Tehsil- Kirawali, Agra – Jaipur NH-11, Agra"
10864,"AK373","NEELKANTH INSTITUTE OF TECHNOLOGY,MEERUT [AK373]",56,250110,"Meerut"
11291,"AK1042","NGI COLLEGE OF PHARMACY , MEERUT [AK1042]",56,250110,"NH-58, Near SVBP Agriculture University, Modipuram, Meerut- UP 250110"
11125,"AK1146","NIRMALA DEVI PHARMACY COLLEGE,JAUNPUR [AK1146]",38,,"NAYANSAND, GAURABADSHAHPUR"
10634,"AK802","NITRA TECHNICAL CAMPUS,GHAZIABAD [AK802]",31,201001,"NITRA , Sector-23 Raj Nagar, Ghaziabad"
28242,"AK1175","NK College, Mainpuri [AK1175]",53,205001,"Nagla Balu, Maninpuri"
10668,"AK201","NKBR COLLEGE OF PHARMACY & RESEARCH CENTER,MEERUT [AK201]",56,245206,"Meerut - 245206"
10779,"AK273","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,(MCA INSTITUTE),GAUTAM BUDDH NAGAR [AK273]",30,201306,"19, Knowledge Park-II, Institutional Area, Greater Noida 201306"
